,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_100031_GMOREA0011,Spbetavirus SPbeta,Spbetavirus,Unknown,dsDNA,Bacillus phage SPBc2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Spbetavirus,Spbetavirus SPbeta,Bacillus phage SPBc2
k141_100049_GMOREA0041-DNA,Beetrevirus B3,Beetrevirus,Unknown,dsDNA,Pseudomonas phage B3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Beetrevirus,Beetrevirus B3,Pseudomonas phage B3
k141_10005_GMOREA0115-DNA,Privateervirus pv009,Privateervirus,Unknown,dsDNA,Cronobacter phage vB_CsaP_009,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Grimontviridae,Privateervirus,Privateervirus pv009,Cronobacter phage vB_CsaP_009
k141_100093_GMOREA0056,Schiekvirus EfV12,Schiekvirus,Herelleviridae,dsDNA,Enterococcus phage EfV12-phi1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Herelleviridae,Schiekvirus,Schiekvirus EfV12,Enterococcus phage EfV12-phi1
k141_100101_GMOREA0012,Kingevirus communis,Kingevirus,Crevaviridae,dsDNA,uncultured phage cr13_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Kingevirus,Kingevirus communis,uncultured phage cr13_1
k141_100110_GMOREA0171-DNA,Leefvirus Leef,Leefvirus,Helgolandviridae,dsDNA,Polaribacter phage Leef_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Helgolandviridae,Leefvirus,Leefvirus Leef,Polaribacter phage Leef_1
k141_100131_GMOREA0178-DNA,Leicestervirus CD382,Leicestervirus,Unknown,dsDNA,Clostridium phage phiCD38-2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD111,Clostridium phage phiCD111
k141_10013_GMOREA0134-DNA,Listeria phage vB_LmoS_188,Unknown,Unknown,dsDNA,Listeria phage vB_LmoS_188,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage vB_LmoS_188,unclassified Listeria phage vB_LmoS_188 subspecies/strain
k141_100145_GMOREA0010,Wanderervirus wanderer,Wanderervirus,Unknown,dsDNA,Paenibacillus phage Wanderer,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Wanderervirus,Wanderervirus wanderer,Paenibacillus phage Wanderer
k141_100150_GMOREA0041-DNA,Rockvillevirus phi4J1,Rockvillevirus,Unknown,dsDNA,Bacillus phage phi4J1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Rockvillevirus,Rockvillevirus phi4J1,Bacillus phage phi4J1
k141_10017_GMOREA0048-DNA,Labanvirus laban,Labanvirus,Duneviridae,dsDNA,Flavobacterium phage vB_FspS_laban6-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Duneviridae,Labanvirus,Labanvirus laban,Flavobacterium phage vB_FspS_laban6-1
k141_100182_GMOREA0171-DNA,Toutatisvirus toutatis,Toutatisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Toutatisvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_100209_GMOREA0178-DNA,Punavirus RCS47,Punavirus,Unknown,dsDNA,Escherichia phage RCS47,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Punavirus,Punavirus RCS47,Escherichia phage RCS47
k141_100219_GMOREA0029,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_10021_GMOREA0134-DNA,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_100266_GMOREA0178-DNA,Hagravirus HGTV1,Hagravirus,Halomagnusviridae,dsDNA,Halogranum tailed virus 1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Sozzivirus,Sozzivirus S11,Oenococcus phage phiS11
k141_100293_GMOREA0029,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_100305_GMOREA0124-DNA,Doucettevirus B22,Doucettevirus,Unknown,dsDNA,Propionibacterium phage B22,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Doucettevirus,Doucettevirus B22,Propionibacterium phage B22
k141_10034_GMOREA0103-DNA,Taranisvirus taranis,Taranisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Taranis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Taranisvirus,Taranisvirus taranis,Faecalibacterium phage FP_Taranis
k141_100360_GMOREA0044-DNA,Mycobacterium phage PhatBacter,Kostyavirus,Unknown,dsDNA,Mycobacterium phage PhatBacter,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Kostyavirus,Mycobacterium phage PhatBacter,unclassified Mycobacterium phage PhatBacter subspecies/strain
k141_100386_GMOREA0067-DNA,Astrithrvirus astrithr,Astrithrvirus,Unknown,dsDNA,Salmonella phage astrithr,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_100398_GMOREA0012,Escherichia phage D6,Unknown,Unknown,dsDNA,Escherichia phage D6,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Escherichia phage D6,unclassified Escherichia phage D6 subspecies/strain
k141_1003_GMOREA0067-DNA,Clostridium phage phiCD211,Unknown,Unknown,dsDNA,Clostridium phage phiCD211,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCD211,unclassified Clostridium phage phiCD211 subspecies/strain
k141_100428_GMOREA0178-DNA,Dabirmavirus hominis,Dabirmavirus,Intestiviridae,dsDNA,uncultured phage cr9_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Dabirmavirus,Dabirmavirus hominis,uncultured phage cr9_1
k141_100439_GMOREA0056,Stenotrophomonas phage S1,Unknown,Unknown,dsDNA,Stenotrophomonas phage S1,Na,Na,Na,Na,Na,Na,Na,Na
k141_100451_GMOREA0142-DNA,Vimunumvirus ST147VIM1phi71,Vimunumvirus,Peduoviridae,dsDNA,Klebsiella phage ST147-VIM1phi7.1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Vimunumvirus,Vimunumvirus ST147VIM1phi71,Klebsiella phage ST147-VIM1phi7.1
k141_100455_GMOREA0004,Plasmavirus L2,Plasmavirus,Plasmaviridae,dsDNA,Plasmavirus L2,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Plasmaviridae,Plasmavirus,Plasmavirus L2,unclassified Plasmavirus L2 subspecies/strain
k141_10047_GMOREA0094-DNA,Mannheimia phage vB_MhS_535AP2,Unknown,Unknown,dsDNA,Mannheimia phage vB_MhS_535AP2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Mannheimia phage vB_MhS_535AP2,unclassified Mannheimia phage vB_MhS_535AP2 subspecies/strain
k141_100481_GMOREA0119-DNA,Ochrobactrum phage POA1180,Unknown,Unknown,dsDNA,Ochrobactrum phage POA1180,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Ochrobactrum phage POA1180,unclassified Ochrobactrum phage POA1180 subspecies/strain
k141_100503_GMOREA0172-DNA,Clostridium phage phi3626,Unknown,Unknown,dsDNA,Clostridium phage phi3626,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phi3626,unclassified Clostridium phage phi3626 subspecies/strain
k141_100513_GMOREA0171-DNA,Pahsextavirus pAh6C,Pahsextavirus,Peduoviridae,dsDNA,Aeromonas phage pAh6-C,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Pahsextavirus,Pahsextavirus pAh6C,Aeromonas phage pAh6-C
k141_10051_GMOREA0113-DNA,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_100565_GMOREA0178-DNA,Donellivirus gee,Donellivirus,Unknown,dsDNA,Bacillus phage G,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Spbetavirus,Spbetavirus SPbeta,Bacillus phage SPBc2
k141_100575_GMOREA0012,Lentavirus PMBT5,Unknown,Unknown,dsDNA,Eggerthella phage PMBT5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lentavirus,Lentavirus PMBT5,Eggerthella phage PMBT5
k141_100645_GMOREA0011,Toutatisvirus toutatis,Bcepmuvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Bcepmuvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_10065_GMOREA0048-DNA,Bacillus phage vB_BcoS-136,Unknown,Unknown,dsDNA,Bacillus phage vB_BcoS-136,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage vB_BcoS-136,unclassified Bacillus phage vB_BcoS-136 subspecies/strain
k141_10065_GMOREA0160-DNA,Clostridium phage phiCT19406B,Unknown,Unknown,dsDNA,Clostridium phage phiCT19406B,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT19406B,unclassified Clostridium phage phiCT19406B subspecies/strain
k141_100663_GMOREA0011,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_100669_GMOREA0010,Anatolevirus anatole,Anatolevirus,Unknown,dsDNA,Propionibacterium phage Anatole,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Anatolevirus,Anatolevirus anatole,Propionibacterium phage Anatole
k141_100676_GMOREA0142-DNA,Eponavirus epona,Eponavirus,Unknown,dsDNA,Faecalibacterium phage FP_Epona,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Eponavirus,Eponavirus epona,Faecalibacterium phage FP_Epona
k141_100688_GMOREA0011,Yongloolinvirus MMP03,Yongloolinvirus,Unknown,dsDNA,Clostridium phage phiMMP03,Na,Na,Na,Na,Na,Na,Na,Na
k141_10069_GMOREA0094-DNA,Psavirus LP302,Unknown,Unknown,dsDNA,Listeria phage LP-030-2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Colunavirus CL2,Lactobacillus phage CL2
k141_100710_GMOREA0067-DNA,Sinorhizobium phage PBC5,Unknown,Unknown,dsDNA,Sinorhizobium phage PBC5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Sinorhizobium phage PBC5,unclassified Sinorhizobium phage PBC5 subspecies/strain
k141_10073_GMOREA0006,Bracchivirus U2F1,Bracchivirus,Peduoviridae,dsDNA,Uncultured Caudovirales phage clone 2F_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Bracchivirus,Bracchivirus U2F1,Uncultured Caudovirales phage clone 2F_1
k141_100760_GMOREA0023,Waukeshavirus waukesha92,Waukeshavirus,Unknown,dsDNA,Bacillus phage Waukesha92,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Waukeshavirus,Waukeshavirus waukesha92,Bacillus phage Waukesha92
k141_100779_GMOREA0119-DNA,Likavirus werner,Likavirus,Unknown,dsDNA,Streptomyces phage Werner,Na,Na,Na,Na,Na,Na,Na,Na
k141_100786_GMOREA0067-DNA,Kahnovirus oralis,Kahnovirus,Steigviridae,dsDNA,uncultured phage cr85_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Kahucivirus,Kahucivirus intestinalis,uncultured phage cr127_1
k141_100794_GMOREA0120-DNA,Bacteroides phage B124-14,Unknown,Unknown,dsDNA,Bacteroides phage B124-14,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Croceibacter phage P2559Y,unclassified Croceibacter phage P2559Y subspecies/strain
k141_100795_GMOREA0119-DNA,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_100815_GMOREA0120-DNA,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_100820_GMOREA0178-DNA,Lubbockvirus CD119,Lubbockvirus,Unknown,dsDNA,Clostridium phage phi CD119,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lubbockvirus,Lubbockvirus CD119,Clostridium phage phi CD119
k141_10083_GMOREA0052-DNA,Listeria phage vB_LmoS_188,Unknown,Unknown,dsDNA,Listeria phage vB_LmoS_188,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage vB_LmoS_188,unclassified Listeria phage vB_LmoS_188 subspecies/strain
k141_10083_GMOREA0117-DNA,Donellivirus gee,Donellivirus,Unknown,dsDNA,Bacillus phage G,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Yersinia phage phiR1-37,unclassified Yersinia phage phiR1-37 subspecies/strain
k141_100876_GMOREA0171-DNA,Helsingorvirus Cba181,Helsingorvirus,Unknown,dsDNA,Cellulophaga phage phi18:1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudomonas phage AF,unclassified Pseudomonas phage AF subspecies/strain
k141_100926_GMOREA0178-DNA,Phabquatrovirus PHB04,Phabquatrovirus,Unknown,dsDNA,Bordetella phage vB_BbrM_PHB04,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Phabquatrovirus,Phabquatrovirus PHB04,Bordetella phage vB_BbrM_PHB04
k141_100938_GMOREA0044-DNA,Feldmannia irregularis virus a,Phaeovirus,Phycodnaviridae,dsDNA,Feldmannia irregularis virus a,Viruses,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Phaeovirus,Feldmannia irregularis virus a,unclassified Feldmannia irregularis virus a subspecies/strain
k141_10096_GMOREA0070-DNA,Anatolevirus anatole,Anatolevirus,Unknown,dsDNA,Propionibacterium phage Anatole,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Anatolevirus,Anatolevirus anatole,Propionibacterium phage Anatole
k141_10097_GMOREA0160-DNA,Leicestervirus CD111,Leicestervirus,Unknown,dsDNA,Clostridium phage phiCD111,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD111,Clostridium phage phiCD111
k141_100993_GMOREA0027,Haemophilus phage SuMu,Unknown,Unknown,dsDNA,Haemophilus phage SuMu,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Haemophilus phage SuMu,unclassified Haemophilus phage SuMu subspecies/strain
k141_101009_GMOREA0067-DNA,Lentavirus PMBT5,Unknown,Unknown,dsDNA,Eggerthella phage PMBT5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lentavirus,Lentavirus PMBT5,Eggerthella phage PMBT5
k141_101073_GMOREA0041-DNA,Labanvirus laban,Labanvirus,Duneviridae,dsDNA,Flavobacterium phage vB_FspS_laban6-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Duneviridae,Labanvirus,Labanvirus laban,Flavobacterium phage vB_FspS_laban6-1
k141_101099_GMOREA0004,Dragolirvirus dragolir,Unknown,Unknown,dsDNA,Paenibacillus phage Dragolir,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Dragolirvirus dragolir,Paenibacillus phage Dragolir
k141_101104_GMOREA0119-DNA,Thermus phage phi OH2,Unknown,Unknown,dsDNA,Thermus phage phi OH2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Thermus phage phi OH2,unclassified Thermus phage phi OH2 subspecies/strain
k141_101106_GMOREA0120-DNA,Clostridium phage phiCP39-O,Unknown,Unknown,dsDNA,Clostridium phage phiCP39-O,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCP39-O,unclassified Clostridium phage phiCP39-O subspecies/strain
k141_101108_GMOREA0120-DNA,Beecentumtrevirus Nf,Beecentumtrevirus,Salasmaviridae,dsDNA,Bacillus phage Nf,Na,Na,Na,Na,Na,Na,Na,Na
k141_101135_GMOREA0119-DNA,Pseudomonas phage PP9W2,Unknown,Unknown,dsDNA,Pseudomonas phage PP9W2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudomonas phage PP9W2,unclassified Pseudomonas phage PP9W2 subspecies/strain
k141_101156_GMOREA0171-DNA,Brigitvirus brigit,Brigitvirus,Unknown,dsDNA,Faecalibacterium phage FP_Brigit,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Brigitvirus,Brigitvirus brigit,Faecalibacterium phage FP_Brigit
k141_101183_GMOREA0023,Staphylococcus phage StB20,Unknown,Unknown,dsDNA,Staphylococcus phage StB20,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Svunavirus,Svunavirus sv1,Bacillus phage 1
k141_10120_GMOREA0178-DNA,Escherichia phage P2_AC1,Peduovirus,Peduoviridae,dsDNA,Escherichia phage P2_AC1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Peduovirus,Peduovirus STYP1,Salmonella phage STYP1
k141_101216_GMOREA0012,Croceibacter phage P2559Y,Unknown,Unknown,dsDNA,Croceibacter phage P2559Y,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Croceibacter phage P2559Y,unclassified Croceibacter phage P2559Y subspecies/strain
k141_101234_GMOREA0172-DNA,Clostridium phage phi3626,Unknown,Unknown,dsDNA,Clostridium phage phi3626,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phi3626,unclassified Clostridium phage phi3626 subspecies/strain
k141_101258_GMOREA0067-DNA,Caeruleovirus JBP901,Unknown,Unknown,dsDNA,Bacillus phage JBP901,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage LP-030-3,unclassified Listeria phage LP-030-3 subspecies/strain
k141_101259_GMOREA0171-DNA,Lagaffevirus lagaffe,Lagaffevirus,Unknown,dsDNA,Faecalibacterium phage FP_Lagaffe,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lagaffevirus,Lagaffevirus lagaffe,Faecalibacterium phage FP_Lagaffe
k141_101261_GMOREA0010,Mushuvirus mushu,Mushuvirus,Unknown,dsDNA,Faecalibacterium phage FP_Mushu,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Mushuvirus,Mushuvirus mushu,Faecalibacterium phage FP_Mushu
k141_101278_GMOREA0172-DNA,Justusliebigvirus PHB05,Justusliebigvirus,Unknown,dsDNA,Escherichia phage vB_EcoM_PHB05,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Justusliebigvirus,Justusliebigvirus PHB05,Escherichia phage vB_EcoM_PHB05
k141_10127_GMOREA0012,Donellivirus gee,Donellivirus,Unknown,dsDNA,Bacillus phage G,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Donellivirus,Donellivirus gee,Bacillus phage G
k141_101280_GMOREA0094-DNA,Ralstonia phage RS138,Unknown,Unknown,dsDNA,Ralstonia phage RS138,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Ralstonia phage RS138,unclassified Ralstonia phage RS138 subspecies/strain
k141_101280_GMOREA0178-DNA,Bingvirus bing,Bingvirus,Unknown,dsDNA,Streptomyces phage Bing,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Bingvirus,Bingvirus bing,Streptomyces phage Bing
k141_101285_GMOREA0044-DNA,Kamchatkavirus AP45,Kamchatkavirus,Unknown,dsDNA,Aeribacillus phage AP45,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Kamchatkavirus,Kamchatkavirus AP45,Aeribacillus phage AP45
k141_101307_GMOREA0178-DNA,Brigitvirus brigit,Brigitvirus,Unknown,dsDNA,Faecalibacterium phage FP_Brigit,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Brigitvirus,Brigitvirus brigit,Faecalibacterium phage FP_Brigit
k141_101310_GMOREA0044-DNA,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_101361_GMOREA0004,Arawnvirus arawn,Unknown,Unknown,dsDNA,Butyrivibrio phage Arawn,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Arawnvirus arawn,Butyrivibrio phage Arawn
k141_10142_GMOREA0173-DNA,Deep-sea thermophilic phage D6E,Unknown,Unknown,dsDNA,Deep-sea thermophilic phage D6E,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Burkholderia phage Magia,unclassified Burkholderia phage Magia subspecies/strain
k141_101434_GMOREA0011,Buchavirus intestinalis,Buchavirus,Suoliviridae,dsDNA,uncultured phage cr105_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Aurodevirus,Aurodevirus hominis,uncultured phage cr125_1
k141_101461_GMOREA0124-DNA,Phietavirus EW,Unknown,Unknown,dsDNA,Staphylococcus phage EW,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Phietavirus EW,Staphylococcus phage EW
k141_10146_GMOREA0109-DNA,Microbacterium phage NoodlelyBoi,Quhwahvirus,Unknown,dsDNA,Microbacterium phage NoodlelyBoi,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Quhwahvirus,Microbacterium phage NoodlelyBoi,unclassified Microbacterium phage NoodlelyBoi subspecies/strain
k141_101505_GMOREA0124-DNA,Dagavirus ST13OXA48phi121,Unknown,Unknown,dsDNA,Klebsiella phage ST13-OXA48phi12.1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Dagavirus ST13OXA48phi121,Klebsiella phage ST13-OXA48phi12.1
k141_101508_GMOREA0011,Bellamyvirus bellamy,Bellamyvirus,Kyanoviridae,dsDNA,Synechococcus phage Bellamy,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Bellamyvirus,Bellamyvirus bellamy,Synechococcus phage Bellamy
k141_101513_GMOREA0142-DNA,Reipivirus ST16OXA48phi54,Reipivirus,Peduoviridae,dsDNA,Klebsiella phage ST16-OXA48phi5.4,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Reipivirus,Reipivirus ST16OXA48phi54,Klebsiella phage ST16-OXA48phi5.4
k141_101538_GMOREA0041-DNA,Reginaelenavirus rv3LV2017,Reginaelenavirus,Peduoviridae,dsDNA,Klebsiella phage 3LV2017,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Reginaelenavirus,Reginaelenavirus rv3LV2017,Klebsiella phage 3LV2017
k141_101580_GMOREA0142-DNA,Fernvirus yyerffej,Fernvirus,Unknown,dsDNA,Paenibacillus phage Yyerffej,Na,Na,Na,Na,Na,Na,Na,Na
k141_101603_GMOREA0044-DNA,Myohalovirus phiCh1,Myohalovirus,Vertoviridae,dsDNA,Natrialba phage PhiCh1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Vertoviridae,Myohalovirus,Myohalovirus phiCh1,Natrialba phage PhiCh1
k141_101623_GMOREA0142-DNA,Bacillus phage 0305phi8-36,Unknown,Unknown,dsDNA,Bacillus phage 0305phi8-36,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage 0305phi8-36,unclassified Bacillus phage 0305phi8-36 subspecies/strain
