,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_20661_GMOREA0070-DNA,Psavirus LP302,Psavirus,Unknown,dsDNA,Listeria phage LP-030-2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage phBC6A52,unclassified Bacillus phage phBC6A52 subspecies/strain
k141_20662_GMOREA0178-DNA,Thermus phage phi OH2,Unknown,Unknown,dsDNA,Thermus phage phi OH2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Thermus phage phi OH2,unclassified Thermus phage phi OH2 subspecies/strain
k141_20664_GMOREA0120-DNA,Incheonvirus P12002S,Unknown,Unknown,dsDNA,Polaribacter phage P12002S,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT19406C,unclassified Clostridium phage phiCT19406C subspecies/strain
k141_20665_GMOREA0080-DNA,Lactococcus phage 63301,Unknown,Unknown,dsDNA,Lactococcus phage 63301,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Lactococcus phage 63301,unclassified Lactococcus phage 63301 subspecies/strain
k141_206672_GMOREA0029,Streptococcus phage phi3396,Unknown,Unknown,dsDNA,Streptococcus phage phi3396,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Streptococcus phage phi3396,unclassified Streptococcus phage phi3396 subspecies/strain
k141_20670_GMOREA0041-DNA,Yersinia phage vB_YenM_201.16,Unknown,Peduoviridae,dsDNA,Yersinia phage vB_YenM_201.16,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Potamoivirus,Potamoivirus cam4,Synechococcus phage S-CAM4
k141_20672_GMOREA0067-DNA,Bacillus phage phBC6A52,Unknown,Unknown,dsDNA,Bacillus phage phBC6A52,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage phBC6A52,unclassified Bacillus phage phBC6A52 subspecies/strain
k141_206822_GMOREA0029,Gordonia phage Sidious,Unknown,Unknown,dsDNA,Gordonia phage Sidious,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Plasmaviridae,Plasmavirus,Plasmavirus L2,unclassified Plasmavirus L2 subspecies/strain
k141_20690_GMOREA0004,Maenadvirus P1,Maenadvirus,Unknown,dsDNA,Lactobacillus phage P1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Maenadvirus,Maenadvirus P1,Lactobacillus phage P1
k141_207034_GMOREA0010,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_20703_GMOREA0160-DNA,Clostridium phage c-st,Unknown,Unknown,dsDNA,Clostridium phage c-st,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Enterococcus phage vB_EfaS_IME197,unclassified Enterococcus phage vB_EfaS_IME197 subspecies/strain
k141_207198_GMOREA0010,Schiekvirus EfV12,Schiekvirus,Herelleviridae,dsDNA,Enterococcus phage EfV12-phi1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Herelleviridae,Schiekvirus,Schiekvirus EfV12,Enterococcus phage EfV12-phi1
k141_207258_GMOREA0029,Biseptimavirus phi7247PVL,Biseptimavirus,Unknown,dsDNA,Staphylococcus phage phi7247PVL,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Biseptimavirus,Biseptimavirus phi7247PVL,Staphylococcus phage phi7247PVL
k141_207288_GMOREA0010,Punavirus P1,Punavirus,Unknown,dsDNA,Enterobacteria phage P7,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Punavirus,Punavirus P1,Enterobacteria phage P7
k141_20732_GMOREA0178-DNA,Thermoanaerobacterium phage THSA-485A,Unknown,Unknown,dsDNA,Thermoanaerobacterium phage THSA-485A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Thermoanaerobacterium phage THSA-485A,unclassified Thermoanaerobacterium phage THSA-485A subspecies/strain
k141_20736_GMOREA0168-DNA,Yongloolinvirus CDMH1,Yongloolinvirus,Unknown,dsDNA,Clostridium phage CDMH1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT9441A,unclassified Clostridium phage phiCT9441A subspecies/strain
k141_20740_GMOREA0134-DNA,Microbacterium phage NoodlelyBoi,Quhwahvirus,Unknown,dsDNA,Microbacterium phage NoodlelyBoi,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Quhwahvirus,Microbacterium phage NoodlelyBoi,unclassified Microbacterium phage NoodlelyBoi subspecies/strain
k141_20742_GMOREA0094-DNA,Rimavirus rima,Rimavirus,Unknown,dsDNA,Streptomyces phage Rima,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Rimavirus,Rimavirus rima,Streptomyces phage Rima
k141_20749_GMOREA0050-DNA,Diegovirus dv7502Stx,Diegovirus,Unknown,dsDNA,Shigella phage 75/02 Stx,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Diegovirus,Diegovirus dv7502Stx,Shigella phage 75/02 Stx
k141_20756_GMOREA0115-DNA,Stanholtvirus sv6442,Stanholtvirus,Unknown,dsDNA,Burkholderia phage phi644-2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Stanholtvirus,Stanholtvirus sv6442,Burkholderia phage phi644-2
k141_207595_GMOREA0010,Samwavirus StAB,Samwavirus,Unknown,dsDNA,Corynebacterium phage StAB,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Samwavirus,Samwavirus StAB,Corynebacterium phage StAB
k141_207616_GMOREA0029,Vegasvirus vegas,Samwavirus,Unknown,dsDNA,Paenibacillus phage Vegas,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Samwavirus,Samwavirus stiles,Corynebacterium phage Stiles
k141_207620_GMOREA0029,Streptococcus phage phiARI0462,Unknown,Unknown,dsDNA,Streptococcus phage phiARI0462,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Geobacillus virus E2,unclassified Geobacillus virus E2 subspecies/strain
k141_20770_GMOREA0097-DNA,Clostridium phage phiCT453B,Unknown,Unknown,dsDNA,Clostridium phage phiCT453B,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453B,unclassified Clostridium phage phiCT453B subspecies/strain
k141_20771_GMOREA0172-DNA,Vequintavirus murica,Vequintavirus,Unknown,dsDNA,Escherichia phage Murica,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Vequintavirus,Vequintavirus murica,Escherichia phage Murica
k141_207766_GMOREA0010,Taranisvirus taranis,Taranisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Taranis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Taranisvirus,Taranisvirus taranis,Faecalibacterium phage FP_Taranis
k141_20777_GMOREA0160-DNA,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_207789_GMOREA0010,Listeria phage A006,Unknown,Unknown,dsDNA,Listeria phage A006,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Thermus phage phi OH2,unclassified Thermus phage phi OH2 subspecies/strain
k141_20801_GMOREA0048-DNA,Enterobacteria phage SfV,Unknown,Unknown,dsDNA,Enterobacteria phage SfV,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Enterobacteria phage SfV,unclassified Enterobacteria phage SfV subspecies/strain
k141_20802_GMOREA0061-DNA,Vimunumvirus ST147VIM1phi71,Vimunumvirus,Peduoviridae,dsDNA,Klebsiella phage ST147-VIM1phi7.1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Vimunumvirus,Vimunumvirus ST147VIM1phi71,Klebsiella phage ST147-VIM1phi7.1
k141_20802_GMOREA0117-DNA,Listeria phage vB_LmoS_188,Unknown,Unknown,dsDNA,Listeria phage vB_LmoS_188,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage vB_LmoS_188,unclassified Listeria phage vB_LmoS_188 subspecies/strain
